CustomerID,Age,Gender,Location,IncomeRange,SkinType,PurchaseFrequency,AOV,SubscriptionStatus,WebsiteVisits,EmailClicks,SocialEngagement,CustomerSegment,OrderDate,PurchaseIntervalDays,PaymentMethod,CouponUsed,Product,Returned,Rating,EmailOpenRate,SMSConversion,SocialCampaignClicks,ReferralUsed,LoyaltyProgram,NPS,FeedbackSentiment,SupportTickets
1,56,Male,Mumbai,<25k,Oily,7,4998,No,9,8,8,New,04-10-2023,20,Wallet,No,Serum,No,1,1,0,32,No,Inactive,5,Positive,3
2,46,Male,Delhi,50k-75k,Oily,2,4848,No,25,4,19,Churn Risk,26-04-2023,17,Wallet,No,Face Wash,No,4,82,13,8,No,Inactive,6,Positive,0
3,32,Female,Chennai,25k-50k,Normal,2,4235,No,14,7,0,Repeat,11-04-2024,80,Wallet,No,Face Wash,No,5,7,9,6,No,Inactive,0,Positive,1
4,60,Male,Chennai,50k-75k,Combination,3,4544,No,17,7,5,Repeat,10-08-2024,32,COD,No,Shampoo,No,2,71,1,15,No,Inactive,4,Positive,0
5,25,Male,Mumbai,50k-75k,Combination,4,3828,No,6,0,3,New,28-09-2024,60,COD,No,Conditioner,No,3,2,5,38,No,Active,3,Positive,2
6,38,Male,Delhi,75k-100k,Combination,5,2654,No,12,4,12,Repeat,04-06-2023,70,Wallet,No,Shampoo,No,5,90,18,25,No,Inactive,8,Negative,0
7,56,Female,Hyderabad,50k-75k,Oily,5,1221,No,5,4,8,Repeat,02-09-2024,38,Card,Yes,Moisturizer,No,2,86,13,34,No,Inactive,3,Positive,1
8,36,Male,Delhi,25k-50k,Sensitive,1,2470,No,6,2,10,New,24-04-2023,83,COD,No,Sunscreen,No,4,56,18,35,No,Inactive,7,Positive,3
9,40,Female,Chennai,<25k,Combination,1,1496,No,28,4,0,Repeat,17-03-2023,78,UPI,Yes,Conditioner,No,4,41,16,12,Yes,Inactive,8,Negative,3
10,28,Female,Bangalore,50k-75k,Dry,4,1710,Yes,21,0,1,Repeat,18-07-2023,36,UPI,No,Moisturizer,No,4,34,0,0,No,Active,2,Positive,0
11,28,Female,Mumbai,50k-75k,Normal,3,4862,Yes,3,9,7,Repeat,25-07-2025,82,UPI,No,Moisturizer,No,5,59,18,24,No,Inactive,5,Neutral,1
12,41,Female,Bangalore,50k-75k,Oily,2,4751,No,29,9,6,Repeat,01-07-2025,73,Wallet,Yes,Moisturizer,No,1,29,7,8,No,Inactive,0,Positive,1
13,53,Female,Hyderabad,50k-75k,Sensitive,4,4520,No,11,0,19,New,20-07-2023,30,Card,No,Shampoo,No,4,51,19,7,No,Inactive,8,Positive,1
14,57,Male,Delhi,75k-100k,Dry,1,3733,No,16,9,16,VIP,11-01-2024,15,UPI,Yes,Sunscreen,No,4,15,3,28,No,Inactive,0,Neutral,0
15,41,Female,Hyderabad,100k+,Combination,3,3932,Yes,25,0,13,Repeat,05-07-2023,85,Wallet,Yes,Shampoo,No,1,92,9,39,No,Inactive,8,Positive,3
16,20,Male,Bangalore,<25k,Oily,2,2547,Yes,3,5,4,VIP,03-12-2023,19,Wallet,No,Serum,No,2,8,8,39,No,Inactive,10,Positive,4
17,39,Female,Delhi,75k-100k,Combination,2,756,No,0,5,8,New,18-12-2024,19,Card,No,Conditioner,No,1,70,17,9,No,Inactive,2,Neutral,2
18,19,Male,Hyderabad,<25k,Normal,5,1666,No,5,9,2,New,02-02-2023,6,Card,No,Sunscreen,No,5,57,12,17,No,Inactive,1,Positive,1
19,41,Female,Chennai,50k-75k,Oily,2,3467,Yes,4,0,4,VIP,14-01-2024,4,UPI,No,Face Wash,No,4,43,7,28,No,Inactive,8,Positive,0
20,61,Male,Chennai,50k-75k,Dry,1,2459,Yes,3,0,9,Repeat,17-02-2025,10,UPI,No,Sunscreen,No,1,22,0,42,No,Active,6,Positive,4
21,47,Male,Mumbai,50k-75k,Sensitive,3,3641,No,7,4,17,VIP,23-10-2024,7,Card,No,Shampoo,No,4,89,0,40,No,Active,0,Positive,1
22,55,Female,Chennai,50k-75k,Sensitive,0,3514,Yes,17,1,4,New,06-10-2023,2,UPI,No,Sunscreen,No,4,39,9,27,No,Active,7,Positive,3
23,19,Female,Chennai,75k-100k,Normal,3,566,No,6,2,1,Repeat,23-08-2024,2,UPI,No,Shampoo,No,5,47,3,21,No,Inactive,2,Positive,4
24,38,Male,Bangalore,25k-50k,Sensitive,3,3595,Yes,5,6,2,Repeat,14-04-2024,12,UPI,No,Sunscreen,No,2,40,9,26,No,Inactive,6,Positive,1
25,50,Female,Chennai,25k-50k,Sensitive,1,1393,No,11,2,11,VIP,07-11-2024,87,UPI,No,Conditioner,No,5,34,6,11,No,Inactive,1,Negative,0
26,29,Female,Chennai,25k-50k,Normal,1,3519,No,4,0,0,Repeat,20-11-2024,88,COD,Yes,Moisturizer,No,4,91,10,5,No,Active,10,Neutral,4
27,39,Other,Bangalore,50k-75k,Dry,3,1195,No,23,0,10,New,24-07-2023,29,Card,No,Serum,No,5,22,1,5,No,Inactive,3,Neutral,0
28,61,Female,Chennai,<25k,Oily,6,944,No,0,4,3,Repeat,03-08-2023,51,UPI,Yes,Conditioner,No,4,48,19,5,No,Inactive,3,Positive,1
29,42,Male,Chennai,50k-75k,Oily,3,2317,Yes,14,8,3,New,06-07-2023,89,UPI,No,Moisturizer,No,3,20,1,33,No,Active,4,Positive,2
30,44,Male,Mumbai,25k-50k,Normal,4,4916,Yes,24,2,2,VIP,28-07-2023,59,COD,No,Moisturizer,No,1,34,12,38,No,Inactive,8,Positive,1
31,59,Female,Chennai,25k-50k,Combination,4,2292,No,24,4,0,Repeat,01-09-2023,23,COD,No,Shampoo,Yes,4,43,17,2,No,Active,0,Positive,2
32,45,Female,Chennai,<25k,Normal,2,3695,No,13,5,0,Repeat,20-09-2024,37,COD,Yes,Moisturizer,No,5,45,15,7,No,Inactive,2,Positive,3
33,33,Male,Mumbai,25k-50k,Normal,2,3805,No,25,6,4,VIP,13-07-2024,40,COD,Yes,Face Wash,No,2,57,18,21,No,Active,3,Neutral,2
34,32,Male,Bangalore,50k-75k,Normal,2,3830,No,11,3,17,Churn Risk,05-09-2024,67,Wallet,No,Moisturizer,No,2,48,17,8,No,Active,4,Neutral,1
35,64,Female,Chennai,50k-75k,Normal,1,2251,No,7,6,11,Churn Risk,09-05-2023,86,Card,No,Serum,No,4,67,0,6,No,Inactive,2,Neutral,4
36,61,Male,Hyderabad,25k-50k,Sensitive,3,703,No,11,2,7,Churn Risk,18-12-2024,54,COD,No,Shampoo,No,2,0,3,5,No,Inactive,10,Neutral,3
37,20,Male,Bangalore,50k-75k,Sensitive,2,1601,No,15,3,6,VIP,08-07-2024,47,Card,No,Serum,No,1,27,10,46,No,Active,7,Positive,0
38,54,Male,Bangalore,25k-50k,Dry,3,2138,No,24,6,15,Repeat,23-06-2025,9,Wallet,Yes,Conditioner,No,4,55,15,9,No,Inactive,10,Positive,0
39,24,Male,Chennai,50k-75k,Normal,1,1044,No,10,2,9,New,16-02-2023,46,Wallet,No,Conditioner,No,1,44,9,30,No,Inactive,3,Negative,3
40,38,Male,Mumbai,75k-100k,Oily,3,520,No,4,7,17,New,08-03-2025,83,Card,No,Shampoo,No,4,80,1,10,No,Active,3,Neutral,1
41,26,Female,Bangalore,50k-75k,Combination,5,1154,No,13,9,19,Repeat,05-08-2023,23,COD,No,Conditioner,No,1,54,12,4,No,Inactive,3,Negative,0
42,56,Male,Mumbai,100k+,Sensitive,2,4130,No,11,6,8,VIP,19-09-2024,51,UPI,Yes,Conditioner,Yes,4,44,13,42,No,Inactive,6,Positive,0
43,35,Male,Hyderabad,50k-75k,Oily,1,2264,No,28,4,10,VIP,02-11-2024,15,UPI,No,Serum,No,4,83,15,25,No,Inactive,10,Neutral,0
44,21,Male,Mumbai,75k-100k,Sensitive,1,2280,Yes,1,1,10,New,29-07-2025,12,COD,No,Shampoo,No,2,13,2,36,No,Inactive,1,Positive,3
45,42,Female,Delhi,75k-100k,Dry,6,2517,No,19,6,8,New,25-05-2024,37,Wallet,Yes,Shampoo,No,1,45,18,13,No,Inactive,5,Positive,0
46,31,Male,Mumbai,75k-100k,Combination,7,990,No,1,1,1,New,15-09-2024,53,Wallet,No,Face Wash,No,4,82,0,33,No,Inactive,1,Neutral,3
47,26,Female,Bangalore,100k+,Sensitive,0,4977,No,17,1,17,VIP,30-05-2025,13,COD,Yes,Moisturizer,No,5,94,6,42,No,Inactive,9,Positive,2
48,43,Female,Mumbai,<25k,Combination,0,4191,No,11,3,13,Repeat,03-04-2025,73,Card,Yes,Serum,No,2,41,13,7,No,Active,7,Positive,1
49,19,Male,Mumbai,<25k,Combination,1,3518,No,4,9,1,Repeat,28-12-2024,76,Card,No,Moisturizer,No,4,54,19,38,No,Active,5,Negative,1
50,37,Male,Delhi,50k-75k,Oily,1,2523,Yes,11,8,4,Repeat,01-02-2023,5,COD,Yes,Conditioner,No,4,47,12,38,No,Inactive,3,Positive,3
51,45,Male,Delhi,50k-75k,Sensitive,3,3560,No,0,3,13,New,14-01-2023,19,UPI,Yes,Conditioner,No,1,31,2,33,No,Inactive,6,Neutral,1
52,64,Female,Chennai,75k-100k,Combination,4,1660,Yes,25,7,12,Repeat,20-09-2023,50,Wallet,No,Shampoo,No,2,94,15,39,No,Inactive,4,Negative,2
53,24,Female,Bangalore,<25k,Normal,3,786,No,9,5,18,Churn Risk,02-01-2025,76,Card,No,Face Wash,No,2,87,9,15,No,Active,6,Neutral,0
54,61,Male,Chennai,75k-100k,Combination,3,2192,No,20,6,8,New,01-12-2024,57,COD,No,Sunscreen,No,5,84,3,31,No,Inactive,2,Positive,3
55,25,Female,Delhi,25k-50k,Combination,2,2880,No,16,1,16,VIP,24-06-2025,70,COD,No,Shampoo,No,1,39,14,30,No,Inactive,10,Positive,0
56,64,Male,Mumbai,25k-50k,Sensitive,5,2685,No,2,1,4,Churn Risk,15-01-2024,49,COD,No,Conditioner,No,3,3,5,11,Yes,Inactive,3,Positive,2
57,52,Female,Delhi,100k+,Normal,3,2117,No,12,5,17,Repeat,06-04-2024,46,Wallet,No,Face Wash,No,1,91,19,27,No,Inactive,9,Neutral,1
58,31,Female,Hyderabad,<25k,Combination,5,2926,No,6,2,18,New,16-08-2024,79,Card,No,Shampoo,No,1,53,9,47,No,Inactive,6,Neutral,0
59,34,Female,Mumbai,25k-50k,Sensitive,2,4238,No,7,5,8,Churn Risk,27-11-2023,34,UPI,Yes,Face Wash,No,3,20,11,32,No,Active,1,Positive,2
60,53,Female,Chennai,<25k,Sensitive,2,915,No,10,3,6,New,25-12-2023,21,Card,No,Sunscreen,No,5,5,17,5,Yes,Active,5,Positive,3
61,57,Female,Mumbai,75k-100k,Combination,1,763,Yes,16,3,8,VIP,04-03-2025,38,Wallet,No,Sunscreen,No,4,10,14,2,No,Inactive,8,Positive,4
62,21,Female,Hyderabad,75k-100k,Dry,4,3051,No,9,7,17,Repeat,03-06-2025,3,Wallet,Yes,Face Wash,No,2,66,13,48,Yes,Inactive,3,Positive,1
63,19,Female,Delhi,75k-100k,Dry,4,4544,No,24,8,13,Repeat,11-11-2024,60,UPI,No,Conditioner,No,5,35,12,15,No,Inactive,0,Positive,3
64,23,Female,Bangalore,50k-75k,Oily,2,3205,No,14,9,9,Repeat,20-07-2024,66,COD,Yes,Shampoo,No,1,75,12,43,No,Active,9,Positive,0
65,59,Male,Bangalore,50k-75k,Dry,2,4237,No,5,6,17,Repeat,19-03-2023,8,UPI,No,Sunscreen,No,5,38,18,48,No,Inactive,0,Positive,4
66,21,Male,Bangalore,<25k,Dry,5,579,No,8,8,19,New,24-01-2023,48,UPI,No,Serum,No,5,77,19,33,No,Active,5,Positive,3
67,46,Female,Delhi,25k-50k,Sensitive,3,4296,No,28,0,4,New,03-09-2023,27,Wallet,No,Face Wash,No,2,24,8,41,No,Inactive,5,Positive,4
68,35,Female,Bangalore,50k-75k,Sensitive,2,1761,No,25,5,9,Repeat,30-05-2025,4,UPI,No,Face Wash,No,5,51,5,35,No,Inactive,10,Positive,3
69,43,Female,Hyderabad,50k-75k,Combination,4,3319,No,1,9,8,VIP,22-09-2023,38,Card,No,Conditioner,No,5,53,14,47,No,Inactive,9,Positive,2
70,61,Female,Delhi,25k-50k,Combination,4,4372,No,1,3,1,New,09-11-2024,77,COD,No,Face Wash,No,2,65,7,29,No,Inactive,6,Positive,3
71,51,Female,Bangalore,25k-50k,Sensitive,0,4500,Yes,21,1,7,New,18-04-2024,58,Wallet,No,Shampoo,No,4,39,14,4,No,Inactive,8,Neutral,2
72,27,Female,Chennai,25k-50k,Combination,7,898,No,11,9,15,New,18-03-2023,25,UPI,Yes,Serum,No,1,88,12,32,No,Active,10,Negative,4
73,53,Female,Delhi,50k-75k,Sensitive,5,1690,No,16,1,8,VIP,04-03-2023,65,COD,Yes,Serum,No,2,13,8,44,No,Inactive,0,Positive,4
74,31,Female,Delhi,25k-50k,Dry,2,4156,No,17,5,4,Churn Risk,03-06-2024,21,UPI,No,Sunscreen,No,2,20,5,21,No,Active,0,Neutral,0
